name_firm,street_name,category
Продукты,ул. Белицкая 32 ,Товары для дома и дачи
БирХаус,ул. Карбышева 9 (Индекс: 246029),Товары для дома и дачи
New Time,ул. Ланге 17 ,Кафе
Полюс Старт,ул. Чонгарской Дивизии 5 ,Автомобили
Автомобильная парковка,ул. Полесская 38 ,Автомобили
Банк БелВЭБ,ул. Хатаевича 9 ,Бизнес
Топливо сервис,ул. Достоевского 34 ,Производство и поставки
Овощи фрукты,ул. Красноармейская 5А ,Товары для дома и дачи
ГУО Физкультурно-спортивный центр Детей и Молодежи Новобелицкого района Золотая Рысь,ул. Ильича 55А ,Спорт
Оникс ОДО,ул. Добрушская 60 ,Производство и поставки
Институт Механики Металлополимерных Систем имени В. А. Белого,ул. Кирова 32А ,НИИ
Автомобильная парковка,ул. проспект Октября 29А (Индекс: 246029),Автомобили
Приорбанк,ул. Междугородняя 7 ,Бизнес
Велопарковка,ул. Кирова 3 ,Велопарковка
Активконсалт,ул. Рабочая 28 ,Юридические услуги
"Гомсельмаш, механосборочный цех № 1",ул. Шоссейная 41 ,Производство и поставки
Сэф-трейд,ул. 8-я Техническая 2Б ,Товары для дома и дачи
Лучшие Шкафы Купе,ул. проспект Ленина 49 ,Производство и поставки
Окна и двери системы,ул. Гагарина 49 ,Продажа и установка окон
Аптека № 6,ул. проспект Ленина 12 ,Медицина и фармацевтика
Навальница Рекламное,ул. Красноармейская 3А ,Рекламное агентство
Отделение почтовой связи Гомель № 246034,ул. Владимирова 29 ,Почта
"Выкуп аварийных, битых авто после ДТП",ул. Гагарина 65 ,Автомобили
Комсервис,ул. Крестьянская 31 ,Коммунальные службы
Dress School,ул. Юбилейная 48 ,Товары для дома и дачи
Гомельгаз,ул. Владимирова 4 ,Коммунальные службы
"Приорбанк, банкомат",ул. Советская 39 ,Бизнес
ШиМ-Би Трак,ул. Борисенко 3/8 ,Автомобили
Шаурма за обе щеки,ул. Крестьянская 29 ,Кафе
Цивилистика,ул. проспект Ленина 6 ,Юридические услуги
Xistore,ул. Гагарина 65 ,Товары для дома и дачи
